5050045017906217600 39.601695 -35.497694 1 1   59.16  1.14  -1.59  0.51 1.000 1.000 1.000 0.000 0.000 0.000
5050045709397549440 39.607662 -35.447396 1 1   53.75  1.22  -1.17  0.44 0.000 0.000 0.000 0.000 0.000 0.000
5050059998752238848 40.353540 -35.314325 1 1   53.54  1.67  -1.40  0.82 1.000 1.000 1.000 0.000 0.000 0.000
5050060995184674816 40.367554 -35.255521 1 1   53.43  1.11  -2.21  0.37 1.000 1.000 1.000 0.000 0.000 0.000
5050061166983363712 40.340383 -35.263735 1 1  248.05  2.06  -2.50  0.68 0.000 0.000 0.000 0.000 0.000 0.000
5050063606524778624 40.251488 -35.283677 1 1   38.69  0.93  -0.32  0.31 0.000 0.000 0.000 0.000 0.000 0.000
5050065324511734016 40.287055 -35.174561 1 1   63.36  1.26  -2.06  0.45 1.000 1.000 1.000 0.000 0.000 0.000
5050065358871468288 40.268337 -35.188245 1 1   61.50  1.14  -1.50  0.37 1.000 1.000 1.000 0.000 0.000 0.000
5050073742647615360 39.829930 -35.228829 1 0   65.95  0.81 -99.00 -9.00 1.000 1.000 1.000 0.000 0.000 0.000
5050074154964489216 39.907601 -35.184517 1 0   56.35  3.93 -99.00 -9.00 1.000 1.000 1.000 0.000 0.000 0.000
5050074361122921600 39.899609 -35.177116 1 0   54.85  0.68 -99.00 -9.00 1.000 1.000 1.000 0.000 0.000 0.000
5050076594505921024 40.094959 -35.163608 1 1  109.27  0.79  -1.36  0.13 0.000 0.000 0.000 0.000 0.000 0.000
5050077045478440192 40.137569 -35.184796 1 1   21.57  0.93  -1.49  0.23 0.684 0.638 0.728 0.000 0.000 0.000
5050077281700690176 40.224373 -35.157524 1 1   58.89  1.45  -2.25  0.52 1.000 1.000 1.000 0.000 0.000 0.000
5050077384779909888 40.229994 -35.142416 1 1  -13.47  0.65  -1.12  0.14 0.000 0.000 0.000 0.000 0.000 0.000
5050077487859126912 40.233353 -35.133783 1 1   54.87  0.68  -1.97  0.14 1.000 1.000 1.000 0.000 0.000 0.000
5050077492155035520 40.227204 -35.118268 1 1   65.42  0.84  -1.37  0.24 1.000 1.000 1.000 0.000 0.000 0.000
5050077522218863104 40.193642 -35.142449 1 1   57.77  1.92  -1.06  0.80 1.000 1.000 1.000 0.000 0.000 0.000
5050077865816241024 40.105062 -35.161761 1 1   54.97  2.12  -0.14  0.83 1.000 1.000 1.000 0.000 0.000 0.000
5050078415572065152 40.153978 -35.122637 1 1   83.84  1.80  -1.20  0.76 0.109 0.091 0.130 0.000 0.000 0.000
5050078759169459968 40.169476 -35.075012 1 1   55.45  0.93  -1.03  0.17 1.000 1.000 1.000 0.000 0.000 0.000
5050081233070615936 40.094132 -35.103343 1 1   47.34  1.13  -2.04  0.52 1.000 1.000 1.000 0.000 0.000 0.000
5050081546604164352 40.090451 -35.063021 1 1   48.32  1.02  -1.66  0.34 1.000 1.000 1.000 0.000 0.000 0.000
5050081817186179840 40.164416 -35.045579 1 1   46.19  1.84  -1.89  0.83 1.000 1.000 1.000 0.000 0.000 0.000
5050081988984871808 40.098279 -35.043792 1 1   61.15  1.36  -1.23  0.44 1.000 1.000 1.000 0.000 0.000 0.000
5050106934154449792 40.517992 -35.301105 1 1  106.19  1.53  -0.73  0.43 0.000 0.000 0.000 0.000 0.000 0.000
5050107449550560128 40.522671 -35.237312 1 1  155.72  1.88   0.70  0.49 0.000 0.000 0.000 0.000 0.000 0.000
5050109377990966400 40.626607 -35.160467 1 1   19.55  0.66  -0.81  0.12 0.000 0.000 0.000 0.000 0.000 0.000
5050155832358820864 40.426760 -35.146475 1 1   -0.80  0.64  -1.11  0.10 0.000 0.000 0.000 0.000 0.000 0.000
5050156790135134208 40.545026 -35.119424 1 1   48.18  0.87  -2.21  0.24 1.000 1.000 1.000 0.000 0.000 0.000
5050158920438908928 40.368784 -35.140960 1 1   61.36  1.89  -1.98  0.68 1.000 1.000 1.000 0.000 0.000 0.000
5050159401475247744 40.318956 -35.129460 1 1   72.61  1.70  -1.21  0.69 1.000 1.000 1.000 0.000 0.000 0.000
5050159680649610880 40.301781 -35.095135 1 1  182.12  3.81  -1.53  0.93 0.000 0.000 0.000 0.000 0.000 0.000
5050159951231073664 40.359980 -35.077180 1 1   54.83  0.79  -1.72  0.19 1.000 1.000 1.000 0.000 0.000 0.000
5050160024246904064 40.333928 -35.098559 1 1   73.39  0.75  -1.32  0.15 1.000 1.000 1.000 0.000 0.000 0.000
5050160294828447616 40.438205 -35.118149 1 1  194.35  1.79  -0.68  0.74 0.000 0.000 0.000 0.000 0.000 0.000
5050160402202907264 40.443191 -35.102219 1 1   45.48  2.45  -1.41  1.15 0.999 0.999 0.999 0.000 0.000 0.000
5050160878944013696 40.464894 -35.063365 1 1   73.44  1.49  -1.36  1.05 0.998 0.998 0.998 0.000 0.000 0.000
5050161192478001664 40.454515 -35.030777 1 1   50.72  0.67  -1.21  0.10 0.000 0.000 0.000 0.000 0.000 0.000
5050161497419306368 40.403909 -35.053360 1 1   60.33  1.33  -1.37  0.57 0.982 0.979 0.985 0.000 0.000 0.000
5050161634858258560 40.367173 -35.058447 1 1   48.53  1.15  -1.09  0.49 1.000 1.000 1.000 0.000 0.000 0.000
5050161669218002560 40.370064 -35.041077 1 1   44.22  0.81  -1.74  0.19 1.000 1.000 1.000 0.000 0.000 0.000
5050162154550675328 40.443841 -34.991258 1 1   43.90  1.57  -1.43  0.75 1.000 1.000 1.000 0.000 0.000 0.000
